snr,Baseline LSTM,Normal attention,Strong attention,Strong minus normal,Strong minus LSTM
-20,0.2454545454545454,0.2322727272727272,0.2936363636363636,0.0613636363636364,0.04818181818181819
-18,0.3004545454545455,0.2777272727272727,0.3259090909090909,0.048181818181818215,0.025454545454545452
-16,0.3236363636363636,0.3095454545454545,0.3422727272727273,0.03272727272727277,0.018636363636363673
-14,0.3263636363636363,0.3172727272727272,0.3759090909090909,0.05863636363636371,0.049545454545454615
-12,0.3445454545454545,0.3390909090909091,0.3636363636363636,0.02454545454545448,0.019090909090909103
-10,0.3545454545454545,0.35,0.3777272727272727,0.02772727272727271,0.023181818181818192
-8,0.3886363636363636,0.3918181818181818,0.4177272727272727,0.025909090909090937,0.02909090909090911
-6,0.4640909090909091,0.4654545454545454,0.4831818181818181,0.017727272727272703,0.019090909090908992
-4,0.5872727272727273,0.6031818181818182,0.6263636363636363,0.023181818181818192,0.039090909090909065
-2,0.7327272727272728,0.7263636363636363,0.7463636363636363,0.020000000000000018,0.013636363636363558
0,0.815,0.815,0.84,0.025000000000000022,0.025000000000000022
2,0.8418181818181818,0.8727272727272727,0.8954545454545455,0.022727272727272818,0.053636363636363704
4,0.8459090909090909,0.8709090909090909,0.9022727272727272,0.03136363636363637,0.05636363636363628
6,0.85,0.8881818181818182,0.92,0.03181818181818186,0.07000000000000006
8,0.8440909090909091,0.8913636363636364,0.9277272727272728,0.03636363636363649,0.08363636363636373
10,0.8531818181818182,0.901818181818182,0.935,0.03318181818181809,0.0818181818181819
12,0.8531818181818182,0.8945454545454545,0.9272727272727272,0.032727272727272716,0.0740909090909091
14,0.8613636363636363,0.8927272727272727,0.9340909090909092,0.04136363636363649,0.07272727272727286
16,0.8527272727272728,0.8909090909090909,0.9309090909090908,0.039999999999999925,0.07818181818181802
18,0.8490909090909091,0.8872727272727273,0.925,0.03772727272727272,0.07590909090909093
