snr,n_test,normal_attention_accuracy,diff_attention_accuracy,manual_hybrid_accuracy,manual_hybrid_minus_normal,manual_hybrid_selected_model
-20,2200,0.23227272727272727,0.20772727272727273,0.20772727272727273,-0.024545454545454537,diff_attention
-18,2200,0.2777272727272727,0.2540909090909091,0.2540909090909091,-0.023636363636363622,diff_attention
-16,2200,0.30954545454545457,0.2990909090909091,0.2990909090909091,-0.010454545454545494,diff_attention
-14,2200,0.31727272727272726,0.3281818181818182,0.3281818181818182,0.010909090909090924,diff_attention
-12,2200,0.3390909090909091,0.3518181818181818,0.3518181818181818,0.012727272727272698,diff_attention
-10,2200,0.35,0.36318181818181816,0.36318181818181816,0.013181818181818183,diff_attention
-8,2200,0.39181818181818184,0.3927272727272727,0.3927272727272727,0.0009090909090908594,diff_attention
-6,2200,0.46545454545454545,0.4781818181818182,0.4781818181818182,0.012727272727272754,diff_attention
-4,2200,0.6031818181818182,0.6104545454545455,0.6104545454545455,0.0072727272727273196,diff_attention
-2,2200,0.7263636363636363,0.7331818181818182,0.7331818181818182,0.006818181818181834,diff_attention
0,2200,0.815,0.8259090909090909,0.8259090909090909,0.01090909090909098,diff_attention
2,2200,0.8727272727272727,0.8381818181818181,0.8727272727272727,0.0,normal_attention
4,2200,0.8709090909090909,0.8531818181818182,0.8709090909090909,0.0,normal_attention
6,2200,0.8881818181818182,0.8586363636363636,0.8881818181818182,0.0,normal_attention
8,2200,0.8913636363636364,0.8545454545454545,0.8913636363636364,0.0,normal_attention
10,2200,0.9018181818181819,0.86,0.9018181818181819,0.0,normal_attention
12,2200,0.8945454545454545,0.8618181818181818,0.8945454545454545,0.0,normal_attention
14,2200,0.8927272727272727,0.8745454545454545,0.8927272727272727,0.0,normal_attention
16,2200,0.8909090909090909,0.8595454545454545,0.8909090909090909,0.0,normal_attention
18,2200,0.8872727272727273,0.8540909090909091,0.8872727272727273,0.0,normal_attention
