snr,normal_attention_acc,diff_attention_acc,delta_diff_minus_normal,normal_attention_acc_percent,diff_attention_acc_percent,delta_percent_points
-20,0.329,0.318,-0.01100000000000001,32.9,31.8,-1.100000000000001
-18,0.309,0.299,-0.010000000000000009,30.9,29.9,-1.0000000000000009
-16,0.32,0.292,-0.028000000000000025,32.0,29.2,-2.8000000000000025
-14,0.317,0.297,-0.020000000000000018,31.7,29.7,-2.0000000000000018
-12,0.303,0.311,0.008000000000000007,30.3,31.1,0.8000000000000007
-10,0.276,0.277,0.0010000000000000009,27.6,27.700000000000003,0.10000000000000009
-8,0.283,0.305,0.02200000000000002,28.299999999999997,30.5,2.200000000000002
-6,0.324,0.33,0.006000000000000005,32.4,33.0,0.6000000000000005
-4,0.4,0.422,0.021999999999999964,40.0,42.199999999999996,2.1999999999999966
-2,0.572,0.614,0.04200000000000004,57.199999999999996,61.4,4.200000000000004
0,0.76,0.708,-0.052000000000000046,76.0,70.8,-5.200000000000005
2,0.834,0.765,-0.06899999999999995,83.39999999999999,76.5,-6.899999999999995
4,0.881,0.781,-0.09999999999999998,88.1,78.10000000000001,-9.999999999999998
6,0.888,0.786,-0.10199999999999998,88.8,78.60000000000001,-10.199999999999998
8,0.902,0.787,-0.11499999999999999,90.2,78.7,-11.5
10,0.909,0.793,-0.11599999999999999,90.9,79.3,-11.6
12,0.927,0.787,-0.14,92.7,78.7,-14.000000000000002
14,0.904,0.78,-0.124,90.4,78.0,-12.4
16,0.905,0.783,-0.122,90.5,78.3,-12.2
18,0.904,0.791,-0.11299999999999999,90.4,79.10000000000001,-11.299999999999999
