snr,normal_attention_train_acc,diff_attention_train_acc,delta_diff_minus_normal,normal_attention_train_acc_percent,diff_attention_train_acc_percent,delta_percent_points
-20,0.46666666865348816,0.42399999499320984,-0.04266667366027832,46.666666865348816,42.399999499320984,-4.266667366027832
-18,0.4646666646003723,0.41066667437553406,-0.05399999022483826,46.46666646003723,41.066667437553406,-5.399999022483826
-16,0.4726666808128357,0.4143333435058594,-0.05833333730697632,47.26666808128357,41.43333435058594,-5.833333730697632
-14,0.4779999852180481,0.4313333332538605,-0.04666665196418762,47.79999852180481,43.13333332538605,-4.666665196418762
-12,0.49966666102409363,0.4543333351612091,-0.04533332586288452,49.96666610240936,45.43333351612091,-4.533332586288452
-10,0.5193333625793457,0.4713333249092102,-0.0480000376701355,51.93333625793457,47.13333249092102,-4.80000376701355
-8,0.5536666512489319,0.515333354473114,-0.03833329677581787,55.36666512489319,51.5333354473114,-3.833329677581787
-6,0.5796666741371155,0.5723333358764648,-0.007333338260650635,57.96666741371155,57.233333587646484,-0.7333338260650635
-4,0.668666660785675,0.6639999747276306,-0.004666686058044434,66.8666660785675,66.39999747276306,-0.46666860580444336
-2,0.768666684627533,0.7486666440963745,-0.020000040531158447,76.8666684627533,74.86666440963745,-2.0000040531158447
0,0.8429999947547913,0.7863333225250244,-0.056666672229766846,84.29999947547913,78.63333225250244,-5.666667222976685
2,0.887666642665863,0.7876666784286499,-0.09999996423721313,88.7666642665863,78.76666784286499,-9.999996423721313
4,0.9129999876022339,0.7876666784286499,-0.12533330917358398,91.29999876022339,78.76666784286499,-12.533330917358398
6,0.9290000200271606,0.7960000038146973,-0.13300001621246338,92.90000200271606,79.60000038146973,-13.300001621246338
8,0.9350000023841858,0.7929999828338623,-0.1420000195503235,93.50000023841858,79.29999828338623,-14.200001955032349
10,0.934333324432373,0.8006666898727417,-0.13366663455963135,93.4333324432373,80.06666898727417,-13.366663455963135
12,0.9323333501815796,0.7996666431427002,-0.1326667070388794,93.23333501815796,79.96666431427002,-13.26667070388794
14,0.9350000023841858,0.7956666946411133,-0.1393333077430725,93.50000023841858,79.56666946411133,-13.933330774307251
16,0.9323333501815796,0.7963333129882812,-0.13600003719329834,93.23333501815796,79.63333129882812,-13.600003719329834
18,0.9356666803359985,0.7996666431427002,-0.13600003719329834,93.56666803359985,79.96666431427002,-13.600003719329834
