snr,normal_attention_acc,diff_attention_acc,delta_diff_minus_normal,normal_attention_acc_percent,diff_attention_acc_percent,delta_percent_points
-20,0.329,0.334,0.0050000000000000044,32.9,33.4,0.5000000000000004
-18,0.309,0.349,0.03999999999999998,30.9,34.9,3.9999999999999982
-16,0.32,0.351,0.030999999999999972,32.0,35.099999999999994,3.099999999999997
-14,0.317,0.331,0.014000000000000012,31.7,33.1,1.4000000000000012
-12,0.303,0.326,0.02300000000000002,30.3,32.6,2.300000000000002
-10,0.276,0.329,0.05299999999999999,27.6,32.9,5.299999999999999
-8,0.283,0.33,0.04700000000000004,28.299999999999997,33.0,4.700000000000005
-6,0.324,0.34,0.016000000000000014,32.4,34.0,1.6000000000000014
-4,0.4,0.445,0.044999999999999984,40.0,44.5,4.499999999999998
-2,0.572,0.62,0.04800000000000004,57.199999999999996,62.0,4.800000000000004
0,0.76,0.726,-0.03400000000000003,76.0,72.6,-3.400000000000003
2,0.834,0.765,-0.06899999999999995,83.39999999999999,76.5,-6.899999999999995
4,0.881,0.783,-0.09799999999999998,88.1,78.3,-9.799999999999997
6,0.888,0.787,-0.10099999999999998,88.8,78.7,-10.099999999999998
8,0.902,0.781,-0.121,90.2,78.10000000000001,-12.1
10,0.909,0.791,-0.118,90.9,79.10000000000001,-11.799999999999999
12,0.927,0.786,-0.14100000000000001,92.7,78.60000000000001,-14.100000000000001
14,0.904,0.769,-0.135,90.4,76.9,-13.5
16,0.905,0.785,-0.12,90.5,78.5,-12.0
18,0.904,0.789,-0.11499999999999999,90.4,78.9,-11.5
