snr,normal_attention_train_acc,diff_attention_train_acc,delta_diff_minus_normal,normal_attention_train_acc_percent,diff_attention_train_acc_percent,delta_percent_points
-20,0.46666666865348816,0.3556666672229767,-0.11100000143051147,46.666666865348816,35.56666672229767,-11.100000143051147
-18,0.4646666646003723,0.3413333296775818,-0.12333333492279053,46.46666646003723,34.13333296775818,-12.333333492279053
-16,0.4726666808128357,0.33133333921432495,-0.14133334159851074,47.26666808128357,33.133333921432495,-14.133334159851074
-14,0.4779999852180481,0.3490000069141388,-0.1289999783039093,47.79999852180481,34.90000069141388,-12.89999783039093
-12,0.49966666102409363,0.3486666679382324,-0.1509999930858612,49.96666610240936,34.86666679382324,-15.09999930858612
-10,0.5193333625793457,0.3619999885559082,-0.1573333740234375,51.93333625793457,36.19999885559082,-15.73333740234375
-8,0.5536666512489319,0.38466668128967285,-0.16899996995925903,55.36666512489319,38.466668128967285,-16.899996995925903
-6,0.5796666741371155,0.42233332991600037,-0.1573333442211151,57.96666741371155,42.23333299160004,-15.733334422111511
-4,0.668666660785675,0.5266666412353516,-0.1420000195503235,66.8666660785675,52.666664123535156,-14.200001955032349
-2,0.768666684627533,0.6816666722297668,-0.08700001239776611,76.8666684627533,68.16666722297668,-8.700001239776611
0,0.8429999947547913,0.7559999823570251,-0.08700001239776611,84.29999947547913,75.59999823570251,-8.700001239776611
2,0.887666642665863,0.7766666412353516,-0.11100000143051147,88.7666642665863,77.66666412353516,-11.100000143051147
4,0.9129999876022339,0.7850000262260437,-0.12799996137619019,91.29999876022339,78.50000262260437,-12.799996137619019
6,0.9290000200271606,0.7906666398048401,-0.13833338022232056,92.90000200271606,79.06666398048401,-13.833338022232056
8,0.9350000023841858,0.7893333435058594,-0.14566665887832642,93.50000023841858,78.93333435058594,-14.566665887832642
10,0.934333324432373,0.7873333096504211,-0.1470000147819519,93.4333324432373,78.73333096504211,-14.70000147819519
12,0.9323333501815796,0.7886666655540466,-0.14366668462753296,93.23333501815796,78.86666655540466,-14.366668462753296
14,0.9350000023841858,0.7916666865348816,-0.1433333158493042,93.50000023841858,79.16666865348816,-14.33333158493042
16,0.9323333501815796,0.7893333435058594,-0.14300000667572021,93.23333501815796,78.93333435058594,-14.300000667572021
18,0.9356666803359985,0.7883333563804626,-0.1473333239555359,93.56666803359985,78.83333563804626,-14.733332395553589
