snr,normal_attention_train_acc,plain_diffattention_train_acc,diffattention_amp_focus_train_acc,focus_minus_normal_train,focus_minus_plain_diff_train,normal_attention_train_acc_percent,plain_diffattention_train_acc_percent,diffattention_amp_focus_train_acc_percent,focus_minus_normal_train_percent,focus_minus_plain_diff_train_percent
-20,0.46666666865348816,0.3556666672229767,0.46666666865348816,0.0,0.11100000143051147,46.666666865348816,35.56666672229767,46.666666865348816,0.0,11.100000143051147
-18,0.4646666646003723,0.3413333296775818,0.46433332562446594,-0.00033333897590637207,0.12299999594688416,46.46666646003723,34.13333296775818,46.433332562446594,-0.03333389759063721,12.299999594688416
-16,0.4726666808128357,0.33133333921432495,0.47733333706855774,0.004666656255722046,0.1459999978542328,47.26666808128357,33.133333921432495,47.733333706855774,0.4666656255722046,14.599999785423279
-14,0.4779999852180481,0.3490000069141388,0.484333336353302,0.006333351135253906,0.1353333294391632,47.79999852180481,34.90000069141388,48.4333336353302,0.6333351135253906,13.53333294391632
-12,0.49966666102409363,0.3486666679382324,0.5090000033378601,0.00933334231376648,0.16033333539962769,49.96666610240936,34.86666679382324,50.90000033378601,0.933334231376648,16.03333353996277
-10,0.5193333625793457,0.3619999885559082,0.5496666431427002,0.030333280563354492,0.187666654586792,51.93333625793457,36.19999885559082,54.96666431427002,3.033328056335449,18.7666654586792
-8,0.5536666512489319,0.38466668128967285,0.6033333539962769,0.04966670274734497,0.218666672706604,55.36666512489319,38.466668128967285,60.333335399627686,4.966670274734497,21.8666672706604
-6,0.5796666741371155,0.42233332991600037,0.6970000267028809,0.11733335256576538,0.2746666967868805,57.96666741371155,42.23333299160004,69.70000267028809,11.733335256576538,27.46666967868805
-4,0.668666660785675,0.5266666412353516,0.7946666479110718,0.12599998712539673,0.2680000066757202,66.8666660785675,52.666664123535156,79.46666479110718,12.599998712539673,26.80000066757202
-2,0.768666684627533,0.6816666722297668,0.8109999895095825,0.04233330488204956,0.12933331727981567,76.8666684627533,68.16666722297668,81.09999895095825,4.233330488204956,12.933331727981567
0,0.8429999947547913,0.7559999823570251,0.8133333325386047,-0.029666662216186523,0.05733335018157959,84.29999947547913,75.59999823570251,81.33333325386047,-2.9666662216186523,5.733335018157959
2,0.887666642665863,0.7766666412353516,0.8246666789054871,-0.06299996376037598,0.0480000376701355,88.7666642665863,77.66666412353516,82.4666678905487,-6.299996376037598,4.80000376701355
4,0.9129999876022339,0.7850000262260437,0.847000002861023,-0.06599998474121094,0.06199997663497925,91.29999876022339,78.50000262260437,84.7000002861023,-6.599998474121094,6.199997663497925
6,0.9290000200271606,0.7906666398048401,0.840666651725769,-0.0883333683013916,0.050000011920928955,92.90000200271606,79.06666398048401,84.0666651725769,-8.83333683013916,5.0000011920928955
8,0.9350000023841858,0.7893333435058594,0.8523333072662354,-0.08266669511795044,0.06299996376037598,93.50000023841858,78.93333435058594,85.23333072662354,-8.266669511795044,6.299996376037598
10,0.934333324432373,0.7873333096504211,0.8429999947547913,-0.09133332967758179,0.05566668510437012,93.4333324432373,78.73333096504211,84.29999947547913,-9.133332967758179,5.566668510437012
12,0.9323333501815796,0.7886666655540466,0.8450000286102295,-0.0873333215713501,0.05633336305618286,93.23333501815796,78.86666655540466,84.50000286102295,-8.73333215713501,5.633336305618286
14,0.9350000023841858,0.7916666865348816,0.8450000286102295,-0.0899999737739563,0.0533333420753479,93.50000023841858,79.16666865348816,84.50000286102295,-8.99999737739563,5.33333420753479
16,0.9323333501815796,0.7893333435058594,0.8396666646003723,-0.09266668558120728,0.05033332109451294,93.23333501815796,78.93333435058594,83.96666646003723,-9.266668558120728,5.033332109451294
18,0.9356666803359985,0.7883333563804626,0.8363333344459534,-0.09933334589004517,0.04799997806549072,93.56666803359985,78.83333563804626,83.63333344459534,-9.933334589004517,4.799997806549072
