snr,normal_attention_acc,plain_diffattention_acc,diffattention_amp_focus_acc,focus_minus_normal,focus_minus_plain_diff,normal_attention_acc_percent,plain_diffattention_acc_percent,diffattention_amp_focus_acc_percent,focus_minus_normal_percent,focus_minus_plain_diff_percent
-20,0.329,0.318,0.351,0.021999999999999964,0.032999999999999974,32.9,31.8,35.099999999999994,2.1999999999999966,3.299999999999997
-18,0.309,0.299,0.336,0.027000000000000024,0.03700000000000003,30.9,29.9,33.6,2.7000000000000024,3.7000000000000033
-16,0.32,0.292,0.338,0.018000000000000016,0.04600000000000004,32.0,29.2,33.800000000000004,1.8000000000000016,4.600000000000004
-14,0.317,0.297,0.339,0.02200000000000002,0.04200000000000004,31.7,29.7,33.900000000000006,2.200000000000002,4.200000000000004
-12,0.303,0.311,0.339,0.03600000000000003,0.028000000000000025,30.3,31.1,33.900000000000006,3.600000000000003,2.8000000000000025
-10,0.276,0.277,0.301,0.024999999999999967,0.023999999999999966,27.6,27.700000000000003,30.099999999999998,2.4999999999999964,2.399999999999997
-8,0.283,0.305,0.306,0.02300000000000002,0.0010000000000000009,28.299999999999997,30.5,30.599999999999998,2.300000000000002,0.10000000000000009
-6,0.324,0.33,0.329,0.0050000000000000044,-0.0010000000000000009,32.4,33.0,32.9,0.5000000000000004,-0.10000000000000009
-4,0.4,0.422,0.418,0.01799999999999996,-0.0040000000000000036,40.0,42.199999999999996,41.8,1.799999999999996,-0.40000000000000036
-2,0.572,0.614,0.611,0.039000000000000035,-0.0030000000000000027,57.199999999999996,61.4,61.1,3.9000000000000035,-0.30000000000000027
0,0.76,0.708,0.738,-0.02200000000000002,0.030000000000000027,76.0,70.8,73.8,-2.200000000000002,3.0000000000000027
2,0.834,0.765,0.805,-0.028999999999999915,0.040000000000000036,83.39999999999999,76.5,80.5,-2.8999999999999915,4.0000000000000036
4,0.881,0.781,0.821,-0.06000000000000005,0.039999999999999925,88.1,78.10000000000001,82.1,-6.000000000000005,3.9999999999999925
6,0.888,0.786,0.814,-0.07400000000000007,0.027999999999999914,88.8,78.60000000000001,81.39999999999999,-7.400000000000007,2.7999999999999914
8,0.902,0.787,0.841,-0.061000000000000054,0.05399999999999994,90.2,78.7,84.1,-6.100000000000005,5.399999999999993
10,0.909,0.793,0.845,-0.06400000000000006,0.051999999999999935,90.9,79.3,84.5,-6.400000000000006,5.199999999999994
12,0.927,0.787,0.826,-0.10100000000000009,0.038999999999999924,92.7,78.7,82.6,-10.100000000000009,3.8999999999999924
14,0.904,0.78,0.833,-0.07100000000000006,0.052999999999999936,90.4,78.0,83.3,-7.100000000000007,5.299999999999994
16,0.905,0.783,0.827,-0.07800000000000007,0.04399999999999993,90.5,78.3,82.69999999999999,-7.800000000000007,4.399999999999993
18,0.904,0.791,0.823,-0.08100000000000007,0.03199999999999992,90.4,79.10000000000001,82.3,-8.100000000000007,3.1999999999999917
