fold,snr,selected_model_for_hybrid,lstm_kfold_accuracy,normal_attention_kfold_accuracy,diff_attention_kfold_accuracy,automated_hybrid_kfold_accuracy,normal_val_accuracy,diff_val_accuracy,diff_minus_normal_val
0,-20,diff_attention,0.308,0.281,0.356,0.356,0.28,0.34375,0.06374999999999997
0,-18,diff_attention,0.313,0.281,0.329,0.329,0.27875,0.35125,0.07250000000000001
0,-16,diff_attention,0.329,0.289,0.346,0.346,0.28,0.3225,0.04249999999999998
0,-14,diff_attention,0.345,0.289,0.35,0.35,0.275,0.33375,0.05874999999999997
0,-12,diff_attention,0.298,0.28,0.322,0.322,0.2625,0.33375,0.07124999999999998
0,-10,diff_attention,0.298,0.252,0.346,0.346,0.265,0.35875,0.09375
0,-8,diff_attention,0.3,0.263,0.311,0.311,0.2275,0.32625,0.09874999999999998
0,-6,diff_attention,0.336,0.272,0.328,0.328,0.295,0.34875,0.05375000000000002
0,-4,diff_attention,0.464,0.408,0.412,0.412,0.39375,0.41875,0.025000000000000022
0,-2,diff_attention,0.589,0.595,0.609,0.609,0.61,0.61125,0.0012499999999999734
0,0,normal_attention,0.781,0.757,0.735,0.757,0.7525,0.735,-0.01749999999999996
0,2,normal_attention,0.857,0.796,0.763,0.796,0.78625,0.7525,-0.03375000000000006
0,4,normal_attention,0.884,0.795,0.781,0.795,0.8125,0.78875,-0.02375000000000005
0,6,normal_attention,0.911,0.811,0.788,0.811,0.82,0.78375,-0.036250000000000004
0,8,normal_attention,0.936,0.827,0.795,0.827,0.82375,0.7925,-0.03125
0,10,normal_attention,0.942,0.822,0.79,0.822,0.8375,0.78875,-0.04875000000000007
0,12,normal_attention,0.934,0.819,0.789,0.819,0.82375,0.79,-0.03374999999999995
0,14,normal_attention,0.937,0.82,0.788,0.82,0.81375,0.78375,-0.030000000000000027
0,16,normal_attention,0.928,0.816,0.787,0.816,0.83125,0.79375,-0.03750000000000009
0,18,normal_attention,0.939,0.817,0.792,0.817,0.8175,0.77875,-0.03874999999999995
1,-20,diff_attention,0.308,0.26,0.332,0.332,0.26875,0.3475,0.07874999999999999
1,-18,diff_attention,0.313,0.238,0.311,0.311,0.2875,0.35625,0.06875000000000003
1,-16,diff_attention,0.329,0.276,0.322,0.322,0.28125,0.33625,0.05499999999999999
1,-14,diff_attention,0.345,0.267,0.343,0.343,0.28875,0.34625,0.057499999999999996
1,-12,diff_attention,0.298,0.261,0.328,0.328,0.27,0.31375,0.043749999999999956
1,-10,diff_attention,0.298,0.258,0.321,0.321,0.25875,0.3275,0.06875000000000003
1,-8,diff_attention,0.3,0.258,0.301,0.301,0.25625,0.325,0.06875000000000003
1,-6,diff_attention,0.336,0.275,0.307,0.307,0.2775,0.3525,0.07499999999999996
1,-4,diff_attention,0.464,0.401,0.432,0.432,0.4075,0.45125,0.04375000000000001
1,-2,diff_attention,0.589,0.564,0.61,0.61,0.57625,0.64375,0.0675
1,0,normal_attention,0.781,0.757,0.746,0.757,0.74625,0.74625,0.0
1,2,diff_attention,0.857,0.837,0.812,0.812,0.82,0.83,0.010000000000000009
1,4,normal_attention,0.884,0.849,0.849,0.849,0.86,0.87,0.010000000000000009
1,6,normal_attention,0.911,0.864,0.852,0.864,0.885,0.86625,-0.018750000000000044
1,8,normal_attention,0.936,0.89,0.886,0.89,0.87875,0.88875,0.010000000000000009
1,10,normal_attention,0.942,0.894,0.895,0.894,0.88875,0.87,-0.018750000000000044
1,12,normal_attention,0.934,0.889,0.895,0.889,0.86625,0.9025,0.036250000000000004
1,14,normal_attention,0.937,0.882,0.878,0.882,0.875,0.87625,0.0012499999999999734
1,16,normal_attention,0.928,0.886,0.873,0.886,0.87125,0.8725,0.0012500000000000844
1,18,normal_attention,0.939,0.881,0.873,0.881,0.875,0.88,0.0050000000000000044
2,-20,diff_attention,0.308,0.305,0.358,0.358,0.32375,0.35,0.026249999999999996
2,-18,diff_attention,0.313,0.294,0.331,0.331,0.29125,0.34125,0.04999999999999999
2,-16,diff_attention,0.329,0.3,0.335,0.335,0.31125,0.36125,0.04999999999999999
2,-14,diff_attention,0.345,0.341,0.356,0.356,0.315,0.3275,0.012500000000000011
2,-12,diff_attention,0.298,0.308,0.324,0.324,0.3425,0.36125,0.01874999999999999
2,-10,diff_attention,0.298,0.318,0.332,0.332,0.29,0.34,0.050000000000000044
2,-8,diff_attention,0.3,0.275,0.31,0.31,0.305,0.32375,0.01874999999999999
2,-6,diff_attention,0.336,0.321,0.329,0.329,0.31875,0.34375,0.025000000000000022
2,-4,normal_attention,0.464,0.461,0.431,0.461,0.4575,0.44125,-0.016250000000000042
2,-2,normal_attention,0.589,0.613,0.597,0.613,0.64,0.62875,-0.011249999999999982
2,0,diff_attention,0.781,0.735,0.751,0.751,0.72875,0.76375,0.03500000000000003
2,2,diff_attention,0.857,0.782,0.819,0.819,0.75875,0.83625,0.07750000000000001
2,4,normal_attention,0.884,0.785,0.846,0.785,0.7925,0.86125,0.06874999999999998
2,6,normal_attention,0.911,0.793,0.862,0.793,0.795,0.86625,0.07124999999999992
2,8,normal_attention,0.936,0.794,0.893,0.794,0.7975,0.86125,0.06374999999999997
2,10,normal_attention,0.942,0.797,0.899,0.797,0.80375,0.87875,0.07500000000000007
2,12,normal_attention,0.934,0.793,0.905,0.793,0.8025,0.875,0.07250000000000001
2,14,normal_attention,0.937,0.795,0.872,0.795,0.79625,0.8725,0.07625000000000004
2,16,normal_attention,0.928,0.795,0.884,0.795,0.78375,0.88125,0.09750000000000003
2,18,normal_attention,0.939,0.794,0.87,0.794,0.785,0.87,0.08499999999999996
3,-20,diff_attention,0.308,0.31,0.332,0.332,0.31125,0.345,0.03374999999999995
3,-18,diff_attention,0.313,0.286,0.321,0.321,0.32875,0.355,0.026249999999999996
3,-16,diff_attention,0.329,0.301,0.333,0.333,0.315,0.325,0.010000000000000009
3,-14,diff_attention,0.345,0.314,0.358,0.358,0.30375,0.33125,0.02749999999999997
3,-12,diff_attention,0.298,0.309,0.331,0.331,0.305,0.3375,0.03250000000000003
3,-10,diff_attention,0.298,0.278,0.317,0.317,0.29875,0.3425,0.04375000000000001
3,-8,diff_attention,0.3,0.282,0.31,0.31,0.30125,0.3225,0.02124999999999999
3,-6,diff_attention,0.336,0.312,0.338,0.338,0.32125,0.33875,0.017500000000000016
3,-4,diff_attention,0.464,0.425,0.435,0.435,0.40875,0.4575,0.048750000000000016
3,-2,diff_attention,0.589,0.585,0.64,0.64,0.5825,0.62375,0.04125000000000001
3,0,diff_attention,0.781,0.755,0.733,0.733,0.7425,0.745,0.0024999999999999467
3,2,normal_attention,0.857,0.854,0.777,0.854,0.83625,0.78125,-0.05500000000000005
3,4,normal_attention,0.884,0.874,0.784,0.874,0.875,0.785,-0.08999999999999997
3,6,normal_attention,0.911,0.886,0.791,0.886,0.87625,0.78875,-0.08750000000000002
3,8,normal_attention,0.936,0.915,0.793,0.915,0.90625,0.78875,-0.11750000000000005
3,10,normal_attention,0.942,0.912,0.794,0.912,0.90375,0.7825,-0.12125000000000008
3,12,normal_attention,0.934,0.923,0.789,0.923,0.91625,0.79375,-0.12250000000000005
3,14,normal_attention,0.937,0.902,0.789,0.902,0.91375,0.78625,-0.12749999999999995
3,16,normal_attention,0.928,0.901,0.788,0.901,0.89625,0.78875,-0.10750000000000004
3,18,normal_attention,0.939,0.912,0.791,0.912,0.91125,0.79,-0.12124999999999997
4,-20,diff_attention,0.308,0.278,0.336,0.336,0.29375,0.33125,0.03749999999999998
4,-18,diff_attention,0.313,0.286,0.309,0.309,0.29125,0.35875,0.0675
4,-16,diff_attention,0.329,0.293,0.356,0.356,0.29125,0.3225,0.03125
4,-14,diff_attention,0.345,0.291,0.342,0.342,0.305,0.3575,0.05249999999999999
4,-12,diff_attention,0.298,0.277,0.324,0.324,0.285,0.34625,0.06125000000000003
4,-10,diff_attention,0.298,0.267,0.307,0.307,0.28625,0.33125,0.044999999999999984
4,-8,diff_attention,0.3,0.25,0.308,0.308,0.27875,0.32,0.04125000000000001
