snr,n_folds,lstm_kfold_accuracy_mean,lstm_kfold_accuracy_std,normal_attention_kfold_accuracy_mean,normal_attention_kfold_accuracy_std,diff_attention_kfold_accuracy_mean,diff_attention_kfold_accuracy_std,automated_hybrid_kfold_accuracy_mean,automated_hybrid_kfold_accuracy_std,hybrid_minus_normal_mean,hybrid_minus_lstm_mean,hybrid_minus_diff_mean
-20,5,0.30799999833106995,0.0,0.28679999709129333,0.018432585522532463,0.34279999136924744,0.011703000403940678,0.34279999136924744,0.011703000403940678,0.0559999942779541,0.03479999303817749,0.0
-18,5,0.31299999356269836,0.0,0.2770000100135803,0.019939910620450974,0.32019999623298645,0.00899778213351965,0.32019999623298645,0.00899778213351965,0.04319998621940613,0.007200002670288086,0.0
-16,5,0.32899999618530273,0.0,0.29179999232292175,0.009064219892024994,0.3383999764919281,0.011637869291007519,0.3383999764919281,0.011637869291007519,0.04659998416900635,0.009399980306625366,0.0
-14,5,0.3449999988079071,0.0,0.3003999888896942,0.02516823448240757,0.3498000204563141,0.006523805670440197,0.3498000204563141,0.006523805670440197,0.04940003156661987,0.004800021648406982,0.0
-12,5,0.2980000078678131,0.0,0.28700000047683716,0.018708281219005585,0.32580000162124634,0.0032496170606464148,0.32580000162124634,0.0032496170606464148,0.03880000114440918,0.027799993753433228,0.0
-10,5,0.2980000078678131,0.0,0.27459996938705444,0.023405980318784714,0.3246000111103058,0.013365617953240871,0.3246000111103058,0.013365617953240871,0.05000004172325134,0.026600003242492676,0.0
-8,5,0.30000001192092896,0.0,0.2656000256538391,0.01153430063277483,0.30799999833106995,0.0036331797018647194,0.30799999833106995,0.0036331797018647194,0.042399972677230835,0.007999986410140991,0.0
-6,5,0.335999995470047,0.0,0.2946000099182129,0.019479218870401382,0.32899999618530273,0.012345033697783947,0.32899999618530273,0.012345033697783947,0.034399986267089844,-0.006999999284744263,0.0
-4,5,0.46399998664855957,0.0,0.4236000180244446,0.020761502906680107,0.4272000193595886,0.00813388079404831,0.4331999719142914,0.01599249616265297,0.009599953889846802,-0.03080001473426819,0.005999952554702759
-2,5,0.5889999866485596,0.0,0.5910000205039978,0.016211099922657013,0.6148000359535217,0.014274442568421364,0.6180000305175781,0.011436773464083672,0.027000010013580322,0.029000043869018555,0.0031999945640563965
0,5,0.781000018119812,0.0,0.754800021648407,0.011249881237745285,0.7429999709129333,0.00756306666880846,0.7496000528335571,0.008800016716122627,-0.0051999688148498535,-0.03139996528625488,0.006600081920623779
2,5,0.8569999933242798,0.0,0.8192000389099121,0.026498297229409218,0.8003999590873718,0.02593528851866722,0.821600079536438,0.019147839397192,0.002400040626525879,-0.0353999137878418,0.021200120449066162
4,5,0.8840000033378601,0.0,0.8324000239372253,0.03566285967826843,0.8234000205993652,0.03360118716955185,0.8324000239372253,0.03566285967826843,0.0,-0.051599979400634766,0.009000003337860107
6,5,0.9110000729560852,5.960464477539063e-08,0.8465999364852905,0.037537187337875366,0.8353999257087708,0.03889267146587372,0.8465999364852905,0.037537187337875366,0.0,-0.06440013647079468,0.011200010776519775
8,5,0.9359999895095825,0.0,0.8672000169754028,0.048188790678977966,0.8539999723434448,0.0492909699678421,0.8672000169754028,0.048188790678977966,0.0,-0.06879997253417969,0.013200044631958008
10,5,0.9420000314712524,5.960464477539063e-08,0.8628000020980835,0.04488830268383026,0.8555999994277954,0.05197151005268097,0.8628000020980835,0.04488830268383026,0.0,-0.07920002937316895,0.007200002670288086
12,5,0.9340000152587891,0.0,0.8661999702453613,0.050983916968107224,0.8593999743461609,0.057984836399555206,0.8661999702453613,0.050983916968107224,0.0,-0.06780004501342773,0.0067999958992004395
14,5,0.9369999766349792,0.0,0.8614000082015991,0.04553504288196564,0.8456000089645386,0.047617655247449875,0.8614000082015991,0.04553504288196564,0.0,-0.07559996843338013,0.015799999237060547
16,5,0.9279999732971191,0.0,0.8560000658035278,0.04224215820431709,0.846000075340271,0.04841901361942291,0.8560000658035278,0.04224215820431709,0.0,-0.07199990749359131,0.009999990463256836
18,5,0.9390000104904175,0.0,0.8600000143051147,0.04614325240254402,0.8433998823165894,0.04298185184597969,0.8600000143051147,0.04614325240254402,0.0,-0.07899999618530273,0.01660013198852539
