snr,n_test,normal_attention_accuracy,diff_attention_accuracy,manual_hybrid_accuracy,gated_hybrid_accuracy,gated_minus_manual,snr_gate_route_accuracy,manual_diff_route_fraction,gated_diff_route_fraction,mean_gate_p_low
-20,1000,0.329,0.324,0.324,0.324,0.0,1.0,1.0,1.0,0.9812857508659363
-18,1000,0.309,0.36,0.36,0.36,0.0,1.0,1.0,1.0,0.981276273727417
-16,1000,0.32,0.325,0.325,0.325,0.0,1.0,1.0,1.0,0.981984555721283
-14,1000,0.317,0.339,0.339,0.339,0.0,1.0,1.0,1.0,0.98257976770401
-12,1000,0.303,0.331,0.331,0.331,0.0,1.0,1.0,1.0,0.9823025465011597
-10,1000,0.276,0.304,0.304,0.304,0.0,1.0,1.0,1.0,0.9814274311065674
-8,1000,0.283,0.321,0.321,0.321,0.0,1.0,1.0,1.0,0.9804553389549255
-6,1000,0.324,0.32,0.32,0.32,0.0,1.0,1.0,1.0,0.9827972650527954
-4,1000,0.4,0.411,0.411,0.411,0.0,1.0,1.0,1.0,0.9846535921096802
-2,1000,0.572,0.621,0.621,0.621,0.0,1.0,1.0,1.0,0.9858165383338928
0,1000,0.76,0.721,0.721,0.722,0.0010000000000000009,0.967,1.0,0.967,0.938582181930542
2,1000,0.834,0.769,0.834,0.837,0.0030000000000000027,0.955,0.0,0.045,0.07215876132249832
4,1000,0.881,0.781,0.881,0.88,-0.0010000000000000009,0.986,0.0,0.014,0.029466260224580765
6,1000,0.888,0.792,0.888,0.89,0.0020000000000000018,0.985,0.0,0.015,0.030389221385121346
8,1000,0.902,0.792,0.902,0.903,0.0010000000000000009,0.989,0.0,0.011,0.02761426940560341
10,1000,0.909,0.797,0.909,0.908,-0.0010000000000000009,0.994,0.0,0.006,0.023792609572410583
12,1000,0.927,0.788,0.927,0.925,-0.0020000000000000018,0.994,0.0,0.006,0.02327779307961464
14,1000,0.904,0.784,0.904,0.907,0.0030000000000000027,0.982,0.0,0.018,0.030702654272317886
16,1000,0.905,0.79,0.905,0.906,0.0010000000000000009,0.989,0.0,0.011,0.02719218097627163
18,1000,0.904,0.797,0.904,0.904,0.0,0.991,0.0,0.009,0.026616014540195465
