snr,normal_attention_accuracy,hybrid_accuracy,delta_hybrid_minus_normal,selected_model,normal_val_accuracy,diff_val_accuracy,diff_minus_normal_val,normal_accuracy_percent,hybrid_accuracy_percent,delta_percent_points
-20,0.329,0.324,-0.005,diff_attention,0.307,0.336,0.029,32.9,32.4,-0.5
-18,0.309,0.36,0.0509999999999999,diff_attention,0.295,0.336,0.041,30.9,36.0,5.09999999999999
-16,0.32,0.325,0.005,diff_attention,0.292,0.327,0.035,32.0,32.5,0.5
-14,0.317,0.339,0.022,diff_attention,0.306,0.331,0.025,31.7,33.900000000000006,2.1999999999999997
-12,0.303,0.331,0.028,diff_attention,0.314,0.336,0.022,30.3,33.1,2.8000000000000003
-10,0.276,0.304,0.0279999999999999,diff_attention,0.272,0.326,0.0539999999999999,27.6,30.4,2.79999999999999
-8,0.283,0.321,0.038,diff_attention,0.298,0.303,0.005,28.299999999999997,32.1,3.8
-6,0.324,0.32,-0.004,diff_attention,0.3,0.327,0.027,32.4,32.0,-0.4
-4,0.4,0.411,0.0109999999999999,diff_attention,0.407,0.44,0.033,40.0,41.099999999999994,1.09999999999999
-2,0.572,0.621,0.049,diff_attention,0.562,0.589,0.0269999999999999,57.199999999999996,62.1,4.9
0,0.76,0.76,0.0,normal_attention,0.739,0.72,-0.019,76.0,76.0,0.0
2,0.834,0.834,0.0,normal_attention,0.829,0.774,-0.0549999999999999,83.39999999999999,83.39999999999999,0.0
4,0.881,0.881,0.0,normal_attention,0.891,0.787,-0.1039999999999999,88.1,88.1,0.0
6,0.888,0.888,0.0,normal_attention,0.896,0.793,-0.1029999999999999,88.8,88.8,0.0
8,0.902,0.902,0.0,normal_attention,0.912,0.785,-0.127,90.2,90.2,0.0
10,0.909,0.909,0.0,normal_attention,0.904,0.797,-0.1069999999999999,90.9,90.9,0.0
12,0.927,0.927,0.0,normal_attention,0.903,0.785,-0.118,92.7,92.7,0.0
14,0.904,0.904,0.0,normal_attention,0.916,0.796,-0.12,90.4,90.4,0.0
16,0.905,0.905,0.0,normal_attention,0.9,0.779,-0.121,90.5,90.5,0.0
18,0.904,0.904,0.0,normal_attention,0.902,0.787,-0.1149999999999999,90.4,90.4,0.0
