snr,selected_model,normal_val_accuracy,diff_val_accuracy,diff_minus_normal_val
-20,diff_attention,0.307,0.336,0.029000000000000026
-18,diff_attention,0.295,0.336,0.041000000000000036
-16,diff_attention,0.292,0.327,0.03500000000000003
-14,diff_attention,0.306,0.331,0.025000000000000022
-12,diff_attention,0.314,0.336,0.02200000000000002
-10,diff_attention,0.272,0.326,0.05399999999999999
-8,diff_attention,0.298,0.303,0.0050000000000000044
-6,diff_attention,0.3,0.327,0.027000000000000024
-4,diff_attention,0.407,0.44,0.03300000000000003
-2,diff_attention,0.562,0.589,0.026999999999999913
0,normal_attention,0.739,0.72,-0.019000000000000017
2,normal_attention,0.829,0.774,-0.05499999999999994
4,normal_attention,0.891,0.787,-0.10399999999999998
6,normal_attention,0.896,0.793,-0.10299999999999998
8,normal_attention,0.912,0.785,-0.127
10,normal_attention,0.904,0.797,-0.10699999999999998
12,normal_attention,0.903,0.785,-0.118
14,normal_attention,0.916,0.796,-0.12
16,normal_attention,0.9,0.779,-0.121
18,normal_attention,0.902,0.787,-0.11499999999999999
