snr,normal_attn,cost_sensitive,qam_shifted_cost,phys_features_attn
-20,0.32899999618530273,0.3440000116825104,0.33000001311302185,0.3330000042915344
-18,0.3089999854564667,0.3319999873638153,0.32100000977516174,0.31299999356269836
-16,0.3199999928474426,0.33399999141693115,0.3330000042915344,0.328000009059906
-14,0.31700000166893005,0.3230000138282776,0.3370000123977661,0.3190000057220459
-12,0.30300000309944153,0.32600000500679016,0.3149999976158142,0.3149999976158142
-10,0.2759999930858612,0.3310000002384186,0.2939999997615814,0.29600000381469727
-8,0.28299999237060547,0.3100000023841858,0.29100000858306885,0.2770000100135803
-6,0.3240000009536743,0.33899998664855957,0.3370000123977661,0.28999999165534973
-4,0.4000000059604645,0.4359999895095825,0.44999998807907104,0.40400001406669617
-2,0.5720000267028809,0.5899999737739563,0.5910000205039978,0.5690000057220459
0,0.7599999904632568,0.7319999933242798,0.7260000109672546,0.7429999709129333
2,0.8339999914169312,0.8090000152587891,0.781000018119812,0.8100000023841858
4,0.8809999823570251,0.8429999947547913,0.7979999780654907,0.8799999952316284
6,0.8880000114440918,0.8629999756813049,0.7870000004768372,0.8560000061988831
8,0.9020000100135803,0.8809999823570251,0.8100000023841858,0.8840000033378601
10,0.9089999794960022,0.8840000033378601,0.8130000233650208,0.8769999742507935
12,0.9269999861717224,0.8840000033378601,0.8040000200271606,0.8970000147819519
14,0.9039999842643738,0.8510000109672546,0.7960000038146973,0.8730000257492065
16,0.9049999713897705,0.8619999885559082,0.8040000200271606,0.8730000257492065
18,0.9039999842643738,0.871999979019165,0.8029999732971191,0.8930000066757202
