snr,acc_normal,acc_cost,delta
-20,0.3440000116825104,0.33000001311302185,-0.013999998569488525
-18,0.3319999873638153,0.32100000977516174,-0.010999977588653564
-16,0.33399999141693115,0.3330000042915344,-0.0009999871253967285
-14,0.3230000138282776,0.3370000123977661,0.013999998569488525
-12,0.32600000500679016,0.3149999976158142,-0.011000007390975952
-10,0.3310000002384186,0.2939999997615814,-0.03700000047683716
-8,0.3100000023841858,0.29100000858306885,-0.018999993801116943
-6,0.33899998664855957,0.3370000123977661,-0.001999974250793457
-4,0.4359999895095825,0.44999998807907104,0.013999998569488525
-2,0.5899999737739563,0.5910000205039978,0.001000046730041504
0,0.7319999933242798,0.7260000109672546,-0.0059999823570251465
2,0.8090000152587891,0.781000018119812,-0.02799999713897705
4,0.8429999947547913,0.7979999780654907,-0.04500001668930054
6,0.8629999756813049,0.7870000004768372,-0.07599997520446777
8,0.8809999823570251,0.8100000023841858,-0.07099997997283936
10,0.8840000033378601,0.8130000233650208,-0.07099997997283936
12,0.8840000033378601,0.8040000200271606,-0.07999998331069946
14,0.8510000109672546,0.7960000038146973,-0.05500000715255737
16,0.8619999885559082,0.8040000200271606,-0.05799996852874756
18,0.871999979019165,0.8029999732971191,-0.0690000057220459
