snr,acc_baseline,acc_attention,delta
-20,0.33000001311302185,0.32899999618530273,-0.0010000169277191162
-18,0.3240000009536743,0.3089999854564667,-0.015000015497207642
-16,0.33000001311302185,0.3199999928474426,-0.010000020265579224
-14,0.30399999022483826,0.31700000166893005,0.013000011444091797
-12,0.28600001335144043,0.30300000309944153,0.0169999897480011
-10,0.3059999942779541,0.2759999930858612,-0.030000001192092896
-8,0.289000004529953,0.28299999237060547,-0.006000012159347534
-6,0.3059999942779541,0.3240000009536743,0.018000006675720215
-4,0.45399999618530273,0.4000000059604645,-0.05399999022483826
-2,0.6269999742507935,0.5720000267028809,-0.0549999475479126
0,0.753000020980835,0.7599999904632568,0.006999969482421875
2,0.8059999942779541,0.8339999914169312,0.02799999713897705
4,0.8360000252723694,0.8809999823570251,0.04499995708465576
6,0.8579999804496765,0.8880000114440918,0.030000030994415283
8,0.847000002861023,0.9020000100135803,0.05500000715255737
10,0.8489999771118164,0.9089999794960022,0.06000000238418579
12,0.8790000081062317,0.9269999861717224,0.04799997806549072
14,0.843999981880188,0.9039999842643738,0.06000000238418579
16,0.8650000095367432,0.9049999713897705,0.039999961853027344
18,0.8679999709129333,0.9039999842643738,0.03600001335144043
