snr,Baseline,Attention,LSTM-1,LSTM-64
-20,0.33000001311302185,0.32899999618530273,0.3540000021457672,0.3790000081062317
-18,0.3240000009536743,0.3089999854564667,0.3319999873638153,0.3700000047683716
-16,0.33000001311302185,0.3199999928474426,0.335999995470047,0.3869999945163727
-14,0.30399999022483826,0.31700000166893005,0.335999995470047,0.3630000054836273
-12,0.28600001335144043,0.30300000309944153,0.35899999737739563,0.382999986410141
-10,0.3059999942779541,0.2759999930858612,0.33500000834465027,0.3529999852180481
-8,0.289000004529953,0.28299999237060547,0.3700000047683716,0.36800000071525574
-6,0.3059999942779541,0.3240000009536743,0.39399999380111694,0.3959999978542328
-4,0.45399999618530273,0.4000000059604645,0.5170000195503235,0.5149999856948853
-2,0.6269999742507935,0.5720000267028809,0.7210000157356262,0.6650000214576721
0,0.753000020980835,0.7599999904632568,0.7519999742507935,0.7699999809265137
2,0.8059999942779541,0.8339999914169312,0.7770000100135803,0.7900000214576721
4,0.8360000252723694,0.8809999823570251,0.7879999876022339,0.796999990940094
6,0.8579999804496765,0.8880000114440918,0.7850000262260437,0.7820000052452087
8,0.847000002861023,0.9020000100135803,0.7870000004768372,0.7879999876022339
10,0.8489999771118164,0.9089999794960022,0.7820000052452087,0.8040000200271606
12,0.8790000081062317,0.9269999861717224,0.8050000071525574,0.8019999861717224
14,0.843999981880188,0.9039999842643738,0.7910000085830688,0.8100000023841858
16,0.8650000095367432,0.9049999713897705,0.7850000262260437,0.7770000100135803
18,0.8679999709129333,0.9039999842643738,0.781000018119812,0.7990000247955322
