snr,n_test,accuracy,mean_p_low,mean_p_high,low_route_fraction
-20,1000,1.0,0.9812857508659363,0.01871425285935402,1.0
-18,1000,1.0,0.981276273727417,0.01872374676167965,1.0
-16,1000,1.0,0.981984555721283,0.018015436828136444,1.0
-14,1000,1.0,0.98257976770401,0.017420222982764244,1.0
-12,1000,1.0,0.9823025465011597,0.017697464674711227,1.0
-10,1000,1.0,0.9814274311065674,0.018572557717561722,1.0
-8,1000,1.0,0.9804553389549255,0.01954469084739685,1.0
-6,1000,1.0,0.9827972650527954,0.017202746123075485,1.0
-4,1000,1.0,0.9846535921096802,0.015346478670835495,1.0
-2,1000,1.0,0.9858165383338928,0.01418344583362341,1.0
0,1000,0.967,0.938582181930542,0.061417870223522186,0.967
2,1000,0.955,0.07215876132249832,0.9278412461280823,0.045
4,1000,0.986,0.029466260224580765,0.9705336689949036,0.014
6,1000,0.985,0.030389221385121346,0.9696108102798462,0.015
8,1000,0.989,0.02761426940560341,0.9723857641220093,0.011
10,1000,0.994,0.023792609572410583,0.9762073755264282,0.006
12,1000,0.994,0.02327779307961464,0.9767221808433533,0.006
14,1000,0.982,0.030702654272317886,0.9692973494529724,0.018
16,1000,0.989,0.02719218097627163,0.9728078246116638,0.011
18,1000,0.991,0.026616014540195465,0.9733839631080627,0.009
